"@title","Bahasa Indonesia"
"#00802","Greenwood Circuit"
"#00803","Greenwood"
"#00804","Rockford Circuit"
"#00805","Rockford"
"#00806","Richfield Speedway"
"#00807","Richfield"
"#00808","Snowville"
"#00809","=#00808"
"#00810","Bloomburg Circuit"
"#00811","Bloomburg"
"#00812","Lengai Circuit"
"#00813","Tanzania"
"#00814","Lengai"
"#00815","Yasur Park"
"#00816","Vanuatu"
"#00817","Yasur"
"#00818","Eburru Lake"
"#00819","Kenya"
"#00820","Eburru"
"#00821","Somerset Circuit"
"#00822","Arctic"
"#00823","Somerset"
"#00824","Wilkes Circuit"
"#00825","Antarctica"
"#00826","Wilkes"
"#00827","Baffin Circuit"
"#00828","Baffin"
"#00829","Coats Land Circuit"
"#00830","Coats Land"
"#00831","Chicago Highway"
"#00832","Chicago"
"#00833","Hamburg Highway"
"#00834","Hamburg"
"#00835","Basel Highway"
"#00836","Switzerland"
"#00837","Basel"
"#00838","Swiftcreek Park"
"#00839","Swiftcreek"
"#00840","Speedville Circuit"
"#00841","Speedville"
"#00842","Greenglen Speedway"
"#00843","Greenglen"
"#00844","Sunbay Speedway"
"#00845","Sunbay"
"#00846","Templeton Course"
"#00847","Templeton"
"#00848","Kinmen Town"
"#00849","Taiwan"
"#00850","Kinmen"
"#00851","Seongnam Town"
"#00852","Korea"
"#00853","Seongnam"
"#00854","Glendale Farm"
"#00855","Glendale"
"#00856","Chaco Farm"
"#00857","Argentina"
"#00858","Chaco"
"#00859","Kolkata Farm"
"#00860","India"
"#00861","Kolkata"
"#00862","Phuket Beach"
"#00863","Thailand"
"#00864","Phuket"
"#00865","Natadola Beach"
"#00866","Fiji"
"#00867","Natadola"
"#00868","Belo Beach"
"#00869","Belo"
"#00870","Morombe Beach"
"#00871","Morombe"
"#00872","Seabury City"
"#00873","Taipei City"
"#00874","Taipei"
"#00875","Moscow City"
"#00876","Moscow"
"#00877","Hong Kong City"
"#00878","Hong Kong"
"#00879","Liuhe Night Market"
"#00880","Liuhe"
"#00881","London City"
"#00882","London"
"#00883","Chicago City"
"#00884","Mexico City"
"#00885","FF"
"#00886","Common layout in mass-produced cars. Frontal engine improves weight distribution and makes handling easier, at the cost of lower speed. Cars of this type are sturdier."
"#00887","FR"
"#00888","This layout is often used for sports cars. Reduces energy loss when accelerating and the turning radius is small, but the vehicle lacks stability. Easy to lose traction on rough terrain."
"#00889","MR"
"#00890","This layout is often used in race cars. It offers excellent weight distribution and great handling even at high speed. But, with the driver's seat so close to the engine, the noise can be distracting."
"#00891","RR"
"#00892","An uncommon layout, used in sports cars. Rear engine improves rear-wheel grip thanks to increased weight, improving accelerating from rest and braking, but the weight distribution and turning radius are not great."
"#00893","4WD"
"#00894","This layout is employed in large or off-road vehicles, which need a lot of power. Providing torque to all wheels improves stability on rough terrain and enables fast acceleration, but they use a lot of fuel."
"#00895","East Coast GP"
"#00896","Grand Prix race on the East Coast. Durability is key in this race."
"#00897","West Coast GP"
"#00898","Grand Prix on the West Coast. Rough terrain, so bring out your off-road cars."
"#00899","GP America"
"#00900","The biggest Grand Prix in the country. Each part takes place in a different area."
"#00901","Formula Asia"
"#00902","Grand Prix race held in Asia. Some tricky turns await at the race course!"
"#00903","Formula Euro"
"#00904","Grand Prix held in Europe. This race is dominated by cars with high top speeds."
"#00905","Formula No. One"
"#00906","A Grand Prix that draws attention of the whole world. All racers are top drivers."
"#00907","Pacific Rally"
"#00908","A Pacific coast rally with mostly off-road courses."
"#00909","Northern Rally"
"#00910","Rally held in the cold northern regions. Drive with care on the icy roads."
"#00911","World Rally"
"#00912","This rally takes place in several countries, each presenting different challenges."
"#00913","Masterclass GP"
"#00914","An exclusive Grand Prix that only teams with many wins on their record can enter."
"#00915","Golden GP"
"#00916","A spring special Grand Prix taking place in tourist hot spots around the world."
"#00917","National B Trial"
"#00918","National A Trial"
"#00919","Intn'l B Trial"
"#00920","Intn'l A Trial"
"#00921","Super Trial"
"#00922","B Rally Trial"
"#00923","A Rally Trial"
"#00924","Champion Trial"
"#00925","Legendary Trial"
"#00926","Seabury Race"
"#00927","Swiftcreek Race"
"#00928","Lakemore Race"
"#00929","Dunefield Race"
"#00930","Bloomtown Race"
"#00931","Sand Beach Race"
"#00932","Greenwood Race"
"#00933","Glendale Race"
"#00934","Capeville Race"
"#00935","Rockford Race"
"#00936","Templeton Race"
"#00937","Shoreditch Race"
"#00938","East Bay Race"
"#00939","Singapore Race"
"#00940","Brazil Race"
"#00941","Korea Race"
"#00942","Italy Race"
"#00943","Monaco Race"
"#00944","Taiwan Race"
"#00945","Germany Race"
"#00946","Portugal Race"
"#00947","Iraq Race"
"#00948","New Zealand Race"
"#00949","Moscow Race"
"#00950","Qatar Race"
"#00951","Russia Race"
"#00952","Mexico Race"
"#00953","Estonia Race"
"#00954","Argentina Race"
"#00955","Alaska Race"
"#00956","Tanzania Race"
"#00957","Fiji Race"
"#00958","Finland Race"
"#00959","China Race"
"#00960","Antarctica Race"
"#00961","Colombia Race"
"#00962","Waikiki Race"
"#00963","Belarus Race"
"#00964","Arctic Race"
"#00965","Chimp Island Race"
"#00966","Chimp Island Circuit"
"#00967","=#00655"
"#00968","Zippy Race"
"#00969","Oil Oligarch Race"
"#00970","Medell's Race"
"#00971","Eggcelent Race"
"#00972","Select Vehicle"
"#00973","Select Drive Type"
"#00974","Getting Parts"
"#00975","Repaired!"
"#00976","Retry Race"
"#00977","Level Up"
"#00978","""<0>""<br>complete!"
"#00979","Performance greatly<br>exceeds the plans!"
"#00980","Performance is far<br>below the plans..."
"#00981","Way to go!<br>You won at<br><0>!"
"#00982","<co=0066cc><0></co>l of fuel added to the tank!"
"#00983","The fuel tank is now<co=0066cc> full</co>!"
"#00984","<co=0066cc><0></co>l of nitro added to the tank!"
"#00985","The nitro tank is now <co=0066cc>full</co>!"
"#00986","<co=0066cc><0></co>kg of grain added to the silo!"
"#00987","The grain silo is now <co=0066cc>full</co>!"
"#00988","<co=0066cc><0> </co>repairs complete!"
"#00989","Failed to complete the <0>."
"#00990","Your land has been expanded!"
"#00991","You can enter the <co=0066cc><0></co><br>Prize: <1> --> <2>"
"#00992","New Grand Prix race unlocked: <co=0066cc><0></co>!"
"#00993","You can now tune vehicles and car parts!"
"#00994","<co=ff0000><0></co> broke down..."
"#00995","You can now face off against other teams in match races!"
"#00996","<0>'s level increased by <co=0070c0><1></co>!"
"#00997","<0> <co=0070c0>grade</co> increased to <co=0070c0><1></co>!"
"#00998","<co=0070c0>KERS </co>unlocked!"
"#00999","Fuel refilled by <co=0070c0><0>ml</co>!"
"#01000","Nitro refilled by <co=0070c0><0>g</co>!"
"#01001","Parts enhancement unlocked!"
"#01002","<co=0070c0><0><co=00b0f0> </co>race entry is now open!"
"#01003","<co=0070c0><0></co>'s Stamina recovered!"
"#01004","Raffle unlocked!"
"#01005","Congratulations on winning <0>!"
"#01006","You came in #<1> in <0>!"
"#01007","<0> level cap increased to <co=0070c0><1></co>!"
"#01008","You still enter races while carrying out repairs or dismantling a vehicle."
"#01009","Having plants and flowers near a vending machine boosts its sales."
"#01010","If you're having trouble with corners, brake and take them at lower speed."
"#01011","KERS will help you to recover momentum after corners."
"#01012","There is no point in using KERS at low speed. Keep it for later!"
"#01013","You can drift while driving corners with nitro boost."
"#01014","Turbo boost uses up a lot of fuel, but it can give you an edge in races."
"#01015","Can't reach your top speed? Shift gear and step on it!"
"#01016","Having good traction is extremely important when racing."
"#01017","It's easy to overtake competition if you activate aura right after the race starts."
"#01018","Did you know the first Grand Prix Story came out in 2011? How time flies!"
"#01019","Theoretically, formula cars could drive upside down at top speed."
"#01020","It's on rainy days that the drivers' true skill shows."
"#01021","Street racing isn't cool."
"#01022","Enable push notifications and you may get some nice stuff."
"#01023","Mistaking nitroglycerine for nitromethane can end up in disaster. Just so you know."
"#01024","Dry Springs sources milk from a nearby farm."
"#01025","GT is an abbreviation of ""grand tourer""."
"#01026","Teams participating in a race have to put their other work on hold."
"#01027","Ranking up refills your fuel."
"#01028","Feed for chickens can be bought from the shop or won at versus races."
"#01029","Broke? Get money by doing part-time work."
"#01030","You can have max 3 racing teams."
"#01031","The highest car grade is IV."
"#01032","You'll get bananas as the number of your fans goes up."
"#01033","Teams with high Analysis stat obtain more Research Data."
"#01034","Nuggets, coins, and ingots fetch a good price. Sell them at the shop."
"#01035","Plant flowers around a refinery to increase fuel production."
"#01036","You can sell items you don't need at the shop."
"#01037","You get some grain simply for participating in versus races. Feed chickens, get eggs!"
"#01038","Even if you have multiple teams, using just one can be easier on your pocket."
"#01039","A Grand Prix is a series of races. Make sure you've got many cars ready before entering!"
"#01040","Got another set of parts for a car you already have? Use it for upgrades."
"#01041","Keep entering the same race until you max out your number of fans!"
"#01042","Upgrading the admin office will enable you to sign contracts with more sponsors."
"#01044","How to place higher in the online rankings? Well, that's a secret."
"#01045","Use qualification certificates to unlock new races."
"#01046","Kairobot loves sweet pastries."
"#01047","Play the raffle to get some amazing parts!"
"#01048","One of the S-rank vehicles is a flying car, apparently."
"#01049","Kairobot and Chimpan Z are always watching you at the races."
"#01050","Money earned by Wairo Shop goes towards funding our next game!"
"#01051","Got some neat facilities? Show them off on social networking sites!"
"#01052","The vehicle at the front of your garage will be featured in photos shared via SNS."
"#01053","To reorganize vehicles in your garage, tap the ""up"" icon."
"#01054","Research Data"
"#01055","GP Medal"
"#01056","<0>"
"#01057","Fuel"
"#01059","Nitro"
"#01060","Grain"
"#01063","FR Layout"
"#01064","New drive type unlocked: <0>."
"#01065","=#00887"
"#01066","RR Layout"
"#01067","=#00891"
"#01068","MR Layout"
"#01069","=#00889"
"#01070","4WD Layout"
"#01071","=#00893"
"#01072","=#00019"
"#01073","New car type unlocked: <0>."
"#01074","=#00021"
"#01075","=#00028"
"#01076","Car Type: Coupe"
"#01077","=#00043"
"#01078","=#00048"
"#01079","=#00056"
"#01080","=#00073"
"#01081","=#00076"
"#01082","=#00084"
"#01083","=#00109"
"#01084","=#00120"
"#01085","=#00126"
"#01086","=#00613"
"#01087","New facility unlocked: <0>."
"#01088","=#00616"
"#01089","=#00619"
"#01090","=#00627"
"#01091","=#00578"
"#01092","=#00596"
"#01093","=#00601"
"#01094","=#00603"
"#01095","=#00605"
"#01096","=#00607"
"#01097","=#00609"
"#01098","=#00611"
"#01099","=#00588"
"#01100","=#00582"
"#01101","=#00584"
"#01102","=#00590"
"#01103","=#00598"
"#01104","Car Tuning"
"#01105","Tune up vehicles."
"#01106","KERS Unit"
"#01107","Install KERS in any vehicle."
"#01108","Part Enhancement"
"#01109","Enhance parts."
"#01110","GT Upgrade 1"
"#01111","Upgrade <0>."
"#01112","=#00007"
"#01113","=MID(#01110,1,-1)&'Ⅱ'"
"#01114","=MID(#01110,1,-1)&'Ⅲ'"
"#01115","Sports Upgrade 1"
"#01116","=#00009"
"#01117","=MID(#01115,1,-1)&'Ⅱ'"
"#01118","=MID(#01115,1,-1)&'Ⅲ'"
"#01119","Racing Upgrade 1"
"#01120","=#00011"
"#01121","=MID(#01119,1,-1)&'Ⅱ'"
"#01122","=MID(#01119,1,-1)&'Ⅲ'"
"#01123","Rally Upgrade 1"
"#01124","=#00013"
"#01125","=MID(#01123,1,-1)&'Ⅱ'"
"#01126","=MID(#01123,1,-1)&'Ⅲ'"
"#01127","Engine Upgrade +1"
"#01128","Engines"
"#01129","=MID(#01127,1,-2)&'+2'"
"#01130","=MID(#01127,1,-2)&'+3'"
"#01131","=MID(#01127,1,-2)&'+4'"
"#01132","=MID(#01127,1,-2)&'+5'"
"#01133","Gear Upgrade +1"
"#01134","Gears"
"#01135","=MID(#01133,1,-2)&'+2'"
"#01136","=MID(#01133,1,-2)&'+3'"
"#01137","=MID(#01133,1,-2)&'+4'"
"#01138","=MID(#01133,1,-2)&'+5'"
"#01139","Tire Upgrade +1"
"#01140","Tires"
"#01141","=MID(#01139,1,-2)&'+2'"
"#01142","=MID(#01139,1,-2)&'+3'"
"#01143","=MID(#01139,1,-2)&'+4'"
"#01144","=MID(#01139,1,-2)&'+5'"
"#01145","Wing Upgrade +1"
"#01146","Wings"
"#01147","=MID(#01145,1,-2)&'+2'"
"#01148","=MID(#01145,1,-2)&'+3'"
"#01149","=MID(#01145,1,-2)&'+4'"
"#01150","=MID(#01145,1,-2)&'+5'"
"#01151","Brake Upgrade +1"
"#01152","Brakes"
"#01153","=MID(#01151,1,-2)&'+2'"
"#01154","=MID(#01151,1,-2)&'+3'"
"#01155","=MID(#01151,1,-2)&'+4'"
"#01156","=MID(#01151,1,-2)&'+5'"
"#01157","COM Upgrade +1"
"#01158","COM"
"#01159","=MID(#01157,1,-2)&'+2'"
"#01160","=MID(#01157,1,-2)&'+3'"
"#01161","=MID(#01157,1,-2)&'+4'"
"#01162","=MID(#01157,1,-2)&'+5'"
"#01163","Charger Upgrade +1"
"#01164","Superchargers"
"#01165","=MID(#01163,1,-2)&'+2'"
"#01166","=MID(#01163,1,-2)&'+3'"
"#01167","=MID(#01163,1,-2)&'+4'"
"#01168","=MID(#01163,1,-2)&'+5'"
"#01169","Susp. Upgrade +1"
"#01170","Suspension"
"#01171","=MID(#01169,1,-2)&'+2'"
"#01172","=MID(#01169,1,-2)&'+3'"
"#01173","=MID(#01169,1,-2)&'+4'"
"#01174","=MID(#01169,1,-2)&'+5'"
"#01175","Nitro Upgrade +1"
"#01176","Nitro Parts"
"#01177","=MID(#01175,1,-2)&'+2'"
"#01178","=MID(#01175,1,-2)&'+3'"
"#01179","=MID(#01175,1,-2)&'+4'"
"#01180","=MID(#01175,1,-2)&'+5'"
"#01181","Other Upgrade +1"
"#01182","Other Parts"
"#01183","=MID(#01181,1,-2)&'+2'"
"#01184","=MID(#01181,1,-2)&'+3'"
"#01185","=MID(#01181,1,-2)&'+4'"
"#01186","=MID(#01181,1,-2)&'+5'"
"#01187","GT Lv Cap UP"
"#01188","<0> level cap increased!"
"#01189","Sports Lv Cap UP"
"#01190","Racing Lv Cap UP"
"#01191","Rally Lv Cap UP"
"#01192","Engine Lv Cap UP"
"#01193","Gear Lv Cap UP"
"#01194","Tire Lv Cap UP"
"#01195","Wing Lv Cap UP"
"#01196","Brake Lv Cap UP"
"#01197","COM Lv Cap UP"
"#01198","Sprchrgr Lv Cap UP"
"#01199","Susp. Lv Cap UP"
"#01200","Nitro Lv Cap UP"
"#01201","Dance Lessons"
"#01202","Unlocks a new type of training."
"#01203","Hiking"
"#01204","High Speed Drill"
"#01205","Traction Control"
"#01206","Weight Transfer"
"#01207","Cycling"
"#01208","Military Vehicles"
"#01209","Video Research"
"#01210","Shaping Up"
"#01211","Restoring Cars"
"#01212","Boot Camp"
"#01213","Reflex Training"
"#01214","Tightrope"
"#01215","Piloting Lessons"
"#01216","Meditation"
"#01217","Chicken Appraisal"
"#01218","Sauna Session"
"#01219","Space Training"
"#01220","=#00543"
"#01221","New facility unlocked: <co=0070c0><0></co>."
"#01222","=#00547"
"#01223","Enhances nearby Environment."
"#01224","=#00549"
"#01225","=#00550"
"#01226","=#00551"
"#01227","=#01223"
"#01228","=#00552"
"#01229","=#00553"
"#01230","=#00554"
"#01231","=#00555"
"#01232","=#00556"
"#01233","=#00557"
"#01234","=#00558"
"#01235","=#00559"
"#01236","=#00561"
"#01237","Greatly boosts Environment."
"#01238","=#00563"
"#01239","=#00594"
"#01240","=#00576"
"#01241","=#00580"
"#01242","=#00586"
"#01243","=#00622"
"#01244","=#00624"
"#01245","=#00629"
"#01246","=#00631"
"#01247","=#00633"
"#01248","=#00545"
"#01249","=#00570"
"#01250","=#00572"
"#01251","=#00574"
"#01252","Expansion Permit"
"#01253","Expand your land."
"#01254","Qualification Cert."
"#01255","Can move up to higher lv races."
"#01256","Raffle Ticket"
"#01257","A ticket for the raffle."
"#01258","Premium Raffle Ticket"
"#01259","A ticket for the premium raffle."
"#01260","Conch"
"#01262","Call: Promoter"
"#01263","Phone <0>."
"#01264","a promoter"
"#01265","Call: City Mayor"
"#01266","=#00190"
"#01267","Call: Duke Swift"
"#01268","=#00191"
"#01269","Fuel +10%"
"#01270","Get a little more fuel."
"#01271","Fuel +50%"
"#01272","Get lots more fuel."
"#01273","Fuel: Full"
"#01274","Fully refill the fuel tank."
"#01275","Nitro +10%"
"#01276","Get a little more nitro."
"#01277","Nitro +50%"
"#01278","Get lots more nitro."
"#01279","Nitro: Full"
"#01280","Fully refill the nitro tank."
"#01281","Grain +10%"
"#01282","Get a little more grain."
"#01283","Grain +50%"
"#01284","Get lots more grain."
"#01285","Grain: Full"
"#01286","Fully refill the grain silo."
"#01287","Matchbox"
"#01288","Strike a match to light it."
"#01289","$1 Lighter"
"#01290","Cheap oil lighter."
"#01291","Gas Lighter"
"#01292","Gas-filled lighter."
"#01293","Metal Match"
"#01294","Strike to make sparks."
"#01295","Turbo Lighter"
"#01296","Really strong flame."
"#01297","Deluxe Lighter"
"#01298","Stylishly designed."
"#01299","Golden Lighter"
"#01300","Lighter made of pure gold."
"#01301","Alarm Clock"
"#01302","Familiar yet hated object."
"#01303","Watch"
"#01304","Businesslike wristwatch."
"#01305","Pocket Watch"
"#01306","Retro watch on a chain."
"#01307","Deluxe Watch"
"#01308","A famous Swiss brand."
"#01309","Music Box"
"#01310","Intricate contraption."
"#01311","Pilot's Watch"
"#01312","EMI shielded watch."
"#01313","Golden Pocket Watch"
"#01314","Shiny and elegant."
"#01315","Sandals"
"#01316","With rubber soles."
"#01317","Sneakers"
"#01318","Soft sports shoes."
"#01319","Rubber Boots"
"#01320","Keep your feet dry."
"#01321","Cowboy Boots"
"#01322","Straight out of a Western."
"#01323","Pointe Shoes"
"#01324","High-class ballet shoes."
"#01325","Riding Boots"
"#01326","Durable boots for protection."
"#01327","Glass Shoes"
"#01328","Fragile, but beautiful."
"#01329","Metal Bat"
"#01330","A baseball bat."
"#01331","Pipe Wrench"
"#01332","Tool for turning pipes."
"#01333","Stockpot"
"#01334","Can hold a lot of soup."
"#01335","Hammer"
"#01336","Watch those thumbs!"
"#01337","Dumbbell"
"#01338","A 20-pound dumbbell."
"#01339","Hunting Knife"
"#01340","A very sharp, steel knife."
"#01341","Golf Club"
"#01342","A heavy alloy club."
"#01343","Bird Feather"
"#01344","From a pigeon."
"#01345","Feather Boa"
"#01346","Scarf-like accessory."
"#01347","Quill"
"#01348","Can be used like a pen."
"#01349","Feather Brush"
"#01350","Sweep away tiny dustballs."
"#01351","Arrow"
"#01352","With hawk feathers."
"#01353","Falcon Feather"
"#01354","From a very large falcon."
"#01355","Feather Beret"
"#01356","Hat with a feather."
"#01357","Grape Juice"
"#01358","Delicious grape juice."
"#01359","Oxygen Tank"
"#01360","Highly flammable."
"#01361","Distilled Water"
"#01362","Has a rather strong taste."
"#01363","Gunpowder"
"#01364","Explosive powder."
"#01365","Methane"
"#01366","Extremely flammable gas."
"#01367","Guitar"
"#01368","An acoustic guitar."
"#01369","Piano Wire"
"#01370","High-carbon steel wire."
"#01371","Optic Fiber"
"#01372","High-speed wiring."
"#01373","Aluminum Tray"
"#01374","A light serving tray."
"#01375","Camera"
"#01376","A 1.0 MP camera."
"#01377","Trumpet"
"#01378","Polished to a high shine."
"#01379","Lard"
"#01380","Flavorful fat for cooking."
"#01381","Aromatic Oil"
"#01382","A relaxing aroma."
"#01383","Candle"
"#01384","Made from beeswax."
"#01385","Pencil"
"#01386","A charcoal pencil."
"#01387","Bamboo Charcoal"
"#01388","It's eco-friendly."
"#01389","Diamond"
"#01390","Glittering crystals."
"#01391","Eraser"
"#01392","Made with natural rubber."
"#01393","Paddle"
"#01394","A table tennis paddle."
"#01395","Tennis Ball"
"#01396","Fluorescent and fuzzy."
"#01397","Basketball"
"#01398","Slam dunk!"
"#01399","Capacitor"
"#01400","Used in electric circuits."
"#01401","Calculator"
"#01402","Does calculations for you."
"#01403","Cushion"
"#01404","Soft and cushy."
"#01405","Sponge"
"#01406","It's actually cake."
"#01407","Magnifying Glass"
"#01408","For looking at tiny things."
"#01409","Telescope"
"#01410","Become a skywatcher."
"#01411","Crystal Ball"
"#01412","Gives off mysterious vibes."
"#01413","Drill"
"#01414","A heavy-duty tungsten drill."
"#01415","Brooch"
"#01416","With a ruby-red...ruby."
"#01417","Bolt"
"#01418","=#01417"
"#01419","Natural Rubber"
"#01420","Sustainably sourced."
"#01421","Spring Coil"
"#01422","Used in engine pistons."
"#01423","Bearing"
"#01424","Lowers friction."
"#01425","Pipe"
"#01426","Highly resistant to heat."
"#01427","Cogwheel"
"#01428","Transmits torque."
"#01429","Wire"
"#01430","Tough steel wire."
"#01431","Steel Plate"
"#01432","A large steel plate."
"#01433","White Up. Egg"
"#01434","Boosts EXP when upgrading."
"#01435","XL White Up. Egg"
"#01436","Blue Upgrade Egg"
"#01437","XL Blue Up. Egg"
"#01438","Red Up. Egg"
"#01439","XL Red Up. Egg"
"#01440","Silver Upgrade Egg"
"#01441","XL Silver Up. Egg"
"#01442","Gold Upgrade Egg"
"#01443","XL Gold Up. Egg"
"#01444","Rainbow Up. Egg"
"#01445","XL Rainbow Up. Egg"
"#01446","Bronze Nugget"
"#01447","Can be sold for a fair price."
"#01448","Bronze Coin"
"#01449","Can be sold for a high price."
"#01450","Bronze Ingot"
"#01451","Can be sold for a very high price."
"#01452","Silver Nugget"
"#01453","Silver Coin"
"#01454","Silver Ingot"
"#01455","Gold Nugget"
"#01456","Gold Coin"
"#01457","Gold Ingot"
"#01458","Strength Seed"
"#01459","Increases <0>."
"#01460","Strength"
"#01461","Agility Seed"
"#01462","Agility"
"#01463","Tech Seed"
"#01464","Tech"
"#01465","IQ Seed"
"#01466","IQ"
"#01467","Analysis Seed"
"#01468","Analysis"
"#01469","Appeal Seed"
"#01470","Appeal"
"#01471","DHA Drink"
"#01472","Temporarily boosts EXP."
"#01473","Beginner's Manual"
"#01474","Read it to get a little EXP."
"#01475","Intermediate Manual"
"#01476","Read it to get some EXP."
"#01477","Advanced Manual"
"#01478","Read it to get a lot of EXP."
"#01479","Silver Manual"
"#01480","Very valuable manual."
"#01481","Golden Manual"
"#01482","Extravagant manual."
"#01483","Amazing Manual"
"#01484","Written by an amazing racer."
"#01485","Legendary Manual"
"#01486","Written by a legendary racer."
"#01487","Fuel Can"
"#01488","Contains <0> of fuel."
"#01490","Fuel Can Ⅱ"
"#01492","=MID(#01490,1,-1)&'Ⅲ'"
"#01494","Nitro Can"
"#01496","Milk"
"#01497","Drink to improve Form."
"#01498","Milk Bottle"
"#01499","An empty milk bottle."
"#01500","Healing Tunes CD"
"#01501","Listen to improve Form."
"#01502","Round Crystal"
"#01503","<0>-type enhancement crystal."
"#01504","Round"
"#01505","Triangular Crystal"
"#01506","Triangular"
"#01507","Square Crystal"
"#01508","Square"
"#01509","National Standard Gift"
"#01510","Use to obtain an item."
"#01511","National Super Gift"
"#01512","Intn'l Standard Gift"
"#01513","Intn'l Super Gift"
"#01514","Fine Gift"
"#01515","Standard Rally Gift"
"#01516","Super Rally Gift"
"#01517","World-Class Gift"
"#01518","Fabulous Gift"
"#01519","medal_240"
"#01520","Purchase some GP Medals."
"#01521","=MID(#01519,1,-3)&'700'"
"#01522","=MID(#01519,1,-3)&'1800'"
"#01523","=MID(#01519,1,-3)&'4000'"
"#01524","=MID(#01519,1,-3)&'6500'"
"#01525","=#00564"
"#01526","A useless but funky statue."
"#01527","=#00566"
"#01528","=#00568"
"#01529","Money"
"#01530","Exchange for GP Medals."
"#01531","=#01530"
"#01532","=#00065"
"#01533","Superb quality & velvety texture."
"#01534","National B License"
"#01535","Requirement for national races."
"#01536","National A License"
"#01537","For experienced race drivers."
"#01538","Intn'l B License"
"#01539","Requirement for international races."
"#01540","Intn'l A License"
"#01541","Requirement for prestigious intn'l races."
"#01542","Super License"
"#01543","Requirement for top international races."
"#01544","Rally B License"
"#01545","Required for rallies."
"#01546","Rally A License"
"#01547","Required for prestigious rallies."
"#01548","Champion Rally License"
"#01549","Required for world-famous rallies."
"#01550","Legendary License"
"#01551","Only for the very best drivers in the world."
"#01552","Get some awesome <co=66ffff>vehicles</co>. The <co=ffff00>Coin Raffle</co> features rare cars too!"
"#01553","Get <co=66ffff>items</co> or <co=66ffff>parts</co>. The <co=ffff00>Coin Raffle</co> also features really rare prizes!"
"#01554","The <co=ffff00>Coin Raffle</co> now has even more prizes, including real rarities!"
"#01555","It's racing season again, and the world waits to see what amazing action we'll see this year. There is one newcomer to the racing scene this year: <name>. We don't know much about them yet. Will they become one of the big names in racing, or vanish like so many others? Either way, we'll be watching."
"#01556","Newcomer <name> recently took part in their first race--the <0>. While they had some trouble at first, they quickly got their bearings and came in #<2>. Spectators expressed amazement at how an unknown team could pull off such an impressive performance. They've certainly sparked our interest as well."
"#01557","Newcomer <name> recently took part in their first race--the <0>. They had some trouble at first, and just when it looked like they had gotten their bearings, they had to drop out. The editors here hope they won't let this initial setback get to them. We're rooting for you, <name>!"
"#01558","Newcomer <name> recently took part in their first race--the <0>. Of course, it's too much to expect to win your first race, and in fact they came in toward the rear of the pack. But their refusal to give up showed determination that we liked. The editors here hope they won't let this initial setback get to them. We're rooting for you, <name>!"
"#01559","Newcomer <name> recently took part in their first race--the <0>. They got off to an impressive start, taking their opponents by surprise and coming in first! A spectator commented excitedly that he got chills down his spine as they passed by, and we felt much the same way as we watched. Perhaps this signals the arrival of a new world-class racing team. We'll be watching their next race very closely."
"#01560","We've been getting letters from team owners struggling with their finances, asking for advice, so we interviewed a famously well-off car racing veteran and asked him for the secret to his success.<br>   ""You can't bank on getting enough funds by winning races. To secure a stable source of income for the team, the best way is to have a sponsor. Keep your sponsor happy and they'll even pay you extra, or give you other rewards. It's a really good deal.<br>   And how to make a sponsor happy? Winning races is one way, but not the only one. Having appealing drivers and pit crew works as well. Maybe you could even try hiring a celeb to join your crew, hehe.""<br>   Well, this has been enlightening! Dear readers, we hope this info will end your money troubles once and for all."
"#01561","Breaking news! It has just been officially announced that the newcomer <co=0066cc><name> </co>has entered the <co=0066cc><0></co>!<br>   A quick recap of the rules: the GP is a series of races. Each team is evaluated using a point system after every race, and the one with the highest total number of points after the last race wins the championship. This also qualifies them for even more elite GPs.<br><br>We interviewed a now-retired racing team that won the <0> a number of times.<br>   ""The first time we did every race in the same car, and it was a disaster. It broke down halfway through the championship. So then we tried again with two machines, switching between them, and it went smoothly that time.<br>   The races take place on different circuits, so you gotta make sure the car's suited to the circuit. I think realizing that was what finally enabled us to win.""<br>So this seems to be the winning strategy. What valuable insight!"
"#01562","We've just heard that <name>'s vehicle exploded while competing in the <0>. ""It just wasn't durable enough,"" said the head of the investigatory committee. ""It's important to perform frequent repairs, but this might have been avoided if the vehicle had been more durable."" Since a Grand Prix involves back-to-back races, improving the repair skills of your mechanics is definitely a good choice."
"#01563","<name> has just debuted their second car! One of the many fans on hand to witness the event commented, ""Now the team can stand should-to-shoulder with any of the world-class teams. I wish I could take a ride in it myself!"" We look forward to seeing the new vehicle in action."
"#01564","As this reporter was taking a stroll earlier today, I just happened to see what appeared to be the development of a new vehicle at the <name> garage. One of the mechanics who agreed to talk to me said, ""We're putting all of our know-how into this one. It'll be amazing! Hey, this is off the record, right?"" Oops, I guess I wasn't supposed to publish that, but what's done is done. I can hardly wait to see what they've come up with."
"#01565","Hawaii, what a lovely place to be! Naturally, I'm here not on holiday, but to interview mechanics from a very popular local team.<br>   ""Why I applied to work here? Maaan, it's Hawaii! Beautiful beaches, great weather. If I'm going to spend all my day working, it'd better be in a nice environment, you know what I mean?""<br>   After a little research, it turned out that the crew's productivity greatly increased since moving to this particular team.<br>   It would seem that the environment has a considerable impact on quality of work. Time to plant some flowers by your garage, perhaps?"
